fid,samp,mass,vv,tlh,tdh,trh,t2,tmax,intertidal,replicate,mod,hi,NJ,m,year,,,,,
290,49,0.01,3,3,0,0,0,0,1,1,0,0,0,2,2015,,,,,
291,49,0.001,3,3,0,0,0,0,1,1,0,0,0,2,2015,,,,,
292,49,0.0001,3,0,0,0,0,0,1,1,0,0,0,2,2015,,,,,
293,49,0.00001,2,0,0,0,0,0,1,1,0,0,0,2,2015,,,,,
294,49,0.000001,NA,NA,NA,NA,0,0,1,1,0,0,0,2,2015,,,,,
295,50,0.1,3,3,1,0,0,0,1,2,0,0,0,2,2015,,,,,
296,50,0.01,3,3,0,1,0,0,1,2,0,0,0,2,2015,,,,,
297,50,0.001,3,2,0,0,0,0,1,2,0,0,0,2,2015,,,,,
298,50,0.0001,3,2,0,0,0,0,1,2,0,0,0,2,2015,,,,,
299,50,0.00001,1,0,0,0,0,0,1,2,0,0,0,2,2015,,,,,
300,50,0.000001,1,0,0,0,0,0,1,2,0,0,0,2,2015,,,,,
301,51,0.1,3,3,3,2,0,0,1,3,0,0,0,2,2015,,,,,
302,51,0.01,3,3,2,0,0,0,1,3,0,0,0,2,2015,,,,,
303,51,0.001,3,3,0,0,0,0,1,3,0,0,0,2,2015,,,,,
304,51,0.0001,3,3,0,0,0,0,1,3,0,0,0,2,2015,,,,,
305,51,0.00001,2,0,0,0,0,0,1,3,0,0,0,2,2015,,,,,
306,51,0.000001,2,0,0,0,0,0,1,3,0,0,0,2,2015,,,,,
307,52,0.1,3,3,3,3,0,0,1,4,0,0,0,2,2015,,,,,
308,52,0.01,3,3,3,2,0,0,1,4,0,0,0,2,2015,,,,,
309,52,0.001,3,3,0,0,0,0,1,4,0,0,0,2,2015,,,,,
310,52,0.0001,3,3,0,0,0,0,1,4,0,0,0,2,2015,,,,,
311,52,0.00001,3,3,0,0,0,0,1,4,0,0,0,2,2015,,,,,
312,52,0.000001,1,0,0,0,0,0,1,4,0,0,0,2,2015,,,,,
313,53,0.1,3,3,1,0,0,0,0,1,0,0,0,2,2015,,,,,
314,53,0.01,3,3,0,0,0,0,0,1,0,0,0,2,2015,,,,,
315,53,0.001,3,2,0,0,0,0,0,1,0,0,0,2,2015,,,,,
316,53,0.0001,3,3,0,0,0,0,0,1,0,0,0,2,2015,,,,,
317,53,0.00001,2,1,0,0,0,0,0,1,0,0,0,2,2015,,,,,
318,53,0.000001,NA,NA,NA,NA,0,0,0,1,0,0,0,2,2015,,,,,
319,54,0.1,3,3,1,0,0,0,0,2,0,0,0,2,2015,,,,,
320,54,0.01,3,3,0,0,0,0,0,2,0,0,0,2,2015,,,,,
321,54,0.001,3,3,0,0,0,0,0,2,0,0,0,2,2015,,,,,
322,54,0.0001,3,0,0,0,0,0,0,2,0,0,0,2,2015,,,,,
323,54,0.00001,2,1,0,0,0,0,0,2,0,0,0,2,2015,,,,,
324,54,0.000001,NA,NA,NA,NA,0,0,0,2,0,0,0,2,2015,,,,,
325,55,0.1,3,3,0,1,0,0,0,3,0,0,0,2,2015,,,,,
